ref_date,geo,assets_and_debts,age,value
2005,"Toronto, Ontario",Other debt,1,NA
2005,"Toronto, Ontario",Other debt,2,NA
2005,"Toronto, Ontario",Other debt,3,NA
2005,"Toronto, Ontario",Other debt,4,NA
2005,"Toronto, Ontario",Net Worth (assets less debts),0,64924
2005,"Toronto, Ontario",Net Worth (assets less debts),1,221542
2005,"Toronto, Ontario",Net Worth (assets less debts),2,247637
2005,"Toronto, Ontario",Net Worth (assets less debts),3,263021
2005,"Toronto, Ontario",Net Worth (assets less debts),4,237331
2012,"Toronto, Ontario",Private pension assets,0,19774
2012,"Toronto, Ontario",Private pension assets,1,42429
2012,"Toronto, Ontario",Private pension assets,2,81968
2012,"Toronto, Ontario",Private pension assets,3,121322
2012,"Toronto, Ontario",Private pension assets,4,135287
2012,"Toronto, Ontario","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other",0,11331
2012,"Toronto, Ontario","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other",1,21246
2012,"Toronto, Ontario","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other",2,43375
2012,"Toronto, Ontario","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other",3,42724
2012,"Toronto, Ontario","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other",4,67242
2012,"Toronto, Ontario",Employer-sponsored Registered Pension Plans (EPPs),0,8444
2012,"Toronto, Ontario",Employer-sponsored Registered Pension Plans (EPPs),1,21183
2012,"Toronto, Ontario",Employer-sponsored Registered Pension Plans (EPPs),2,38593
2012,"Toronto, Ontario",Employer-sponsored Registered Pension Plans (EPPs),3,78598
2012,"Toronto, Ontario",Employer-sponsored Registered Pension Plans (EPPs),4,68045
2012,"Toronto, Ontario","Financial assets, non pension",0,11822
2012,"Toronto, Ontario","Financial assets, non pension",1,21705
2012,"Toronto, Ontario","Financial assets, non pension",2,46895
2012,"Toronto, Ontario","Financial assets, non pension",3,50513
2012,"Toronto, Ontario","Financial assets, non pension",4,69068
2012,"Toronto, Ontario",Deposits in financial institutions,0,3057
2012,"Toronto, Ontario",Deposits in financial institutions,1,6253
2012,"Toronto, Ontario",Deposits in financial institutions,2,13712
2012,"Toronto, Ontario",Deposits in financial institutions,3,14710
2012,"Toronto, Ontario",Deposits in financial institutions,4,20355
2012,"Toronto, Ontario","Mutual funds, investment funds  and income trusts",0,NA
2012,"Toronto, Ontario","Mutual funds, investment funds  and income trusts",1,NA
2012,"Toronto, Ontario","Mutual funds, investment funds  and income trusts",2,10656
2012,"Toronto, Ontario","Mutual funds, investment funds  and income trusts",3,10824
2012,"Toronto, Ontario","Mutual funds, investment funds  and income trusts",4,20101
2012,"Toronto, Ontario",Stocks,0,NA
2012,"Toronto, Ontario",Stocks,1,NA
2012,"Toronto, Ontario",Stocks,2,NA
2012,"Toronto, Ontario",Stocks,3,NA
2012,"Toronto, Ontario",Stocks,4,16549
2012,"Toronto, Ontario",Bonds (saving and other),0,NA
2012,"Toronto, Ontario",Bonds (saving and other),1,NA
2012,"Toronto, Ontario",Bonds (saving and other),2,NA
2012,"Toronto, Ontario",Bonds (saving and other),3,NA
2012,"Toronto, Ontario",Bonds (saving and other),4,NA
2012,"Toronto, Ontario",Tax Free Saving Accounts (TFSA),0,1017
2012,"Toronto, Ontario",Tax Free Saving Accounts (TFSA),1,1431
2012,"Toronto, Ontario",Tax Free Saving Accounts (TFSA),2,2705
2012,"Toronto, Ontario",Tax Free Saving Accounts (TFSA),3,2483
2012,"Toronto, Ontario",Tax Free Saving Accounts (TFSA),4,3111
2012,"Toronto, Ontario",Other financial assets,0,NA
2012,"Toronto, Ontario",Other financial assets,1,5331
2012,"Toronto, Ontario",Other financial assets,2,7600
2012,"Toronto, Ontario",Other financial assets,3,12252
2012,"Toronto, Ontario",Other financial assets,4,NA
2012,"Toronto, Ontario",Non-financial assets,0,108384
2012,"Toronto, Ontario",Non-financial assets,1,225930
2012,"Toronto, Ontario",Non-financial assets,2,282127
2012,"Toronto, Ontario",Non-financial assets,3,188031
2012,"Toronto, Ontario",Non-financial assets,4,178879
2012,"Toronto, Ontario",Principal residence,0,81561
2012,"Toronto, Ontario",Principal residence,1,176174
2012,"Toronto, Ontario",Principal residence,2,218718
2012,"Toronto, Ontario",Principal residence,3,149264
2012,"Toronto, Ontario",Principal residence,4,138307
2012,"Toronto, Ontario",Other real estate,0,NA
2012,"Toronto, Ontario",Other real estate,1,31726
2012,"Toronto, Ontario",Other real estate,2,41464
2012,"Toronto, Ontario",Other real estate,3,26268
2012,"Toronto, Ontario",Other real estate,4,29402
2012,"Toronto, Ontario",Vehicles,0,4143
2012,"Toronto, Ontario",Vehicles,1,8203
2012,"Toronto, Ontario",Vehicles,2,9324
2012,"Toronto, Ontario",Vehicles,3,5764
2012,"Toronto, Ontario",Vehicles,4,4404
2012,"Toronto, Ontario",Other non-financial assets,0,4004
2012,"Toronto, Ontario",Other non-financial assets,1,9827
2012,"Toronto, Ontario",Other non-financial assets,2,12621
2012,"Toronto, Ontario",Other non-financial assets,3,6736
2012,"Toronto, Ontario",Other non-financial assets,4,6766
2012,"Toronto, Ontario",Equity in business,0,NA
2012,"Toronto, Ontario",Equity in business,1,21818
2012,"Toronto, Ontario",Equity in business,2,71020
2012,"Toronto, Ontario",Equity in business,3,22962
2012,"Toronto, Ontario",Equity in business,4,NA
2012,"Toronto, Ontario",Total debts,0,48929
2012,"Toronto, Ontario",Total debts,1,93692
2012,"Toronto, Ontario",Total debts,2,75549
2012,"Toronto, Ontario",Total debts,3,32493
2012,"Toronto, Ontario",Total debts,4,13819
2012,"Toronto, Ontario",Mortgages,0,41220
2012,"Toronto, Ontario",Mortgages,1,79917
2012,"Toronto, Ontario",Mortgages,2,60205
2012,"Toronto, Ontario",Mortgages,3,24815
2012,"Toronto, Ontario",Mortgages,4,NA
2012,"Toronto, Ontario",Mortgage on principal residence,0,35007
2012,"Toronto, Ontario",Mortgage on principal residence,1,71308
2012,"Toronto, Ontario",Mortgage on principal residence,2,45377
2012,"Toronto, Ontario",Mortgage on principal residence,3,20191
2012,"Toronto, Ontario",Mortgage on principal residence,4,NA
2012,"Toronto, Ontario",Mortgage on other real estate,0,NA
2012,"Toronto, Ontario",Mortgage on other real estate,1,NA
2012,"Toronto, Ontario",Mortgage on other real estate,2,NA
2012,"Toronto, Ontario",Mortgage on other real estate,3,NA
2012,"Toronto, Ontario",Mortgage on other real estate,4,NA
2012,"Toronto, Ontario",Line of credit,0,NA
2012,"Toronto, Ontario",Line of credit,1,6635
2012,"Toronto, Ontario",Line of credit,2,9424
2012,"Toronto, Ontario",Line of credit,3,3889
2012,"Toronto, Ontario",Line of credit,4,6131
2012,"Toronto, Ontario",Credit card and installment debt,0,1119
2012,"Toronto, Ontario",Credit card and installment debt,1,1727
2012,"Toronto, Ontario",Credit card and installment debt,2,2377
2012,"Toronto, Ontario",Credit card and installment debt,3,1283
2012,"Toronto, Ontario",Credit card and installment debt,4,NA
2012,"Toronto, Ontario",Student loans,0,NA
2012,"Toronto, Ontario",Student loans,1,NA
2012,"Toronto, Ontario",Student loans,2,NA
2012,"Toronto, Ontario",Student loans,3,NA
2012,"Toronto, Ontario",Student loans,4,NA
2012,"Toronto, Ontario",Vehicle loans,0,NA
2012,"Toronto, Ontario",Vehicle loans,1,2702
2012,"Toronto, Ontario",Vehicle loans,2,1677
2012,"Toronto, Ontario",Vehicle loans,3,1189
2012,"Toronto, Ontario",Vehicle loans,4,NA
2012,"Toronto, Ontario",Other debt,0,NA
2012,"Toronto, Ontario",Other debt,1,NA
2012,"Toronto, Ontario",Other debt,2,NA
2012,"Toronto, Ontario",Other debt,3,NA
2012,"Toronto, Ontario",Other debt,4,NA
2012,"Toronto, Ontario",Net Worth (assets less debts),0,99119
2012,"Toronto, Ontario",Net Worth (assets less debts),1,218190
2012,"Toronto, Ontario",Net Worth (assets less debts),2,406461
2012,"Toronto, Ontario",Net Worth (assets less debts),3,350335
2012,"Toronto, Ontario",Net Worth (assets less debts),4,371750
2016,"Toronto, Ontario",Private pension assets,0,23778
2016,"Toronto, Ontario",Private pension assets,1,44789
2016,"Toronto, Ontario",Private pension assets,2,115385
2016,"Toronto, Ontario",Private pension assets,3,168121
2016,"Toronto, Ontario",Private pension assets,4,135708
2016,"Toronto, Ontario","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other",0,12688
2016,"Toronto, Ontario","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other",1,17923
2016,"Toronto, Ontario","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other",2,44162
